_id,DATE,TIME,HOUR,DAY_OF_WEEK,MONTH,QUARTER,YEAR,INC_RPT,PRECINCT,COUNCIL_DIST,LOCATION,SP_WEAPON,SP_INJURY_LEVEL,FATALITY_FLG,SP_GENDER,SP_ETHNICITY,SP_RACE,SP_AGE_AT_INC,SP_AGE_GROUP,PO_RACE,PO_ETHNICITY,REFERENCE_ID,SP_NUM
1,2017-01-09T00:00:00,1538,15,01 - Monday,01 - January,1,2017,2017-51067,Cactus Park Precinct,1,34XX W Tangerine Ln,Firearm,Fatal,Fatal,Male,Non-Hispanic,Black,38,30s,White,Non-Hispanic,06256,1
2,2017-01-09T00:00:00,1538,15,01 - Monday,01 - January,1,2017,2017-51067,Cactus Park Precinct,1,34XX W Tangerine Ln,Firearm,Fatal,Fatal,Male,Non-Hispanic,Black,38,30s,White,Non-Hispanic,09355,1
3,2017-03-02T00:00:00,1645,16,04 - Thursday,03 - March,1,2017,2017-370161,Mountain View Precinct,8,23XX E Van Buren St,Firearm,Fatal,Fatal,Male,Hispanic,White,27,20s,Hispanic,Hispanic,08920,1
4,2017-03-15T00:00:00,1347,13,03 - Wednesday,03 - March,1,2017,2017-451326,Black Mountain Precinct,2,23XX W Dove Valley Rd,Firearm,Fatal,Fatal,Male,Non-Hispanic,White,25,20s,Asian,Non-Hispanic,09422,1
5,2017-03-15T00:00:00,1347,13,03 - Wednesday,03 - March,1,2017,2017-451326,Black Mountain Precinct,2,23XX W Dove Valley Rd,Firearm,Fatal,Fatal,Male,Non-Hispanic,White,25,20s,White,Non-Hispanic,04862,1
6,2017-03-23T00:00:00,1725,17,04 - Thursday,03 - March,1,2017,2017-504654,Maryvale/Estrella Mountain Precinct,7,65XX W Van Buren St,Bladed Object,Fatal,Fatal,Male,Hispanic,White,24,20s,White,Non-Hispanic,09339,1
7,2017-04-09T00:00:00,1533,15,07 - Sunday,04 - April,2,2017,2017-612995,Central City Precinct,8,16XX S 15th Dr,Firearm,Injured,Non-fatal,Male,Non-Hispanic,Black,23,20s,White,Non-Hispanic,09781,1
8,2017-04-12T00:00:00,1804,18,03 - Wednesday,04 - April,2,2017,2017-632253,Not Available,NotPHX,130XX W Rancho Santa Fe Blvd Avondale AZ,Vehicle,Fatal,Fatal,Male,Non-Hispanic,White,38,30s,White,Non-Hispanic,06914,1
9,2017-04-19T00:00:00,1932,19,03 - Wednesday,04 - April,2,2017,2017-677763,Maryvale/Estrella Mountain Precinct,7,70XX W Alta Vista Rd,Bladed Object,Injured,Non-fatal,Male,Non-Hispanic,White,31,30s,Hispanic,Hispanic,07782,1
10,2017-04-19T00:00:00,1932,19,03 - Wednesday,04 - April,2,2017,2017-677763,Maryvale/Estrella Mountain Precinct,7,70XX W Alta Vista Rd,Bladed Object,Injured,Non-fatal,Male,Non-Hispanic,White,31,30s,Hispanic,Hispanic,08863,1
11,2017-05-15T00:00:00,1832,18,01 - Monday,05 - May,2,2017,2017-844586,Central City Precinct,7,11XX N 3rd Av,Firearm,Fatal,Fatal,Female,Non-Hispanic,Black,27,20s,White,Non-Hispanic,06561,1
12,2017-06-23T00:00:00,2154,21,05 - Friday,06 - June,2,2017,2017-1094550,Mountain View Precinct,8,22nd St & Washington St,Vehicle,Fatal,Fatal,Male,Hispanic,White,34,30s,White,Non-Hispanic,08304,1
13,2017-06-25T00:00:00,1104,11,07 - Sunday,06 - June,2,2017,2017-1103407,Black Mountain Precinct,2,44XX E Rancho Caliente Dr,Firearm,Fatal,Fatal,Male,Non-Hispanic,White,47,40s,White,Non-Hispanic,05984,1
14,2017-07-20T00:00:00,0803,08,04 - Thursday,07 - July,3,2017,2017-1261620,Black Mountain Precinct,3,158XX N Hanna Maui Dr,Vehicle,No Injury,Non-fatal,Male,Hispanic,White,22,20s,White,Non-Hispanic,07237,1
15,2017-07-26T00:00:00,0110,01,03 - Wednesday,07 - July,3,2017,2017-1298810,Cactus Park Precinct,1,34XX W Deer Valley Rd,Firearm,Fatal,Fatal,Male,Non-Hispanic,White,35,30s,White,Non-Hispanic,07390,1
16,2017-07-26T00:00:00,0110,01,03 - Wednesday,07 - July,3,2017,2017-1298810,Cactus Park Precinct,1,34XX W Deer Valley Rd,Firearm,Fatal,Fatal,Male,Non-Hispanic,White,35,30s,White,Non-Hispanic,08028,1
17,2017-08-17T00:00:00,0509,05,04 - Thursday,08 - August,3,2017,2017-1438722,Mountain View Precinct,8,10XX N 25th Pl,Bladed Object,Fatal,Fatal,Male,Hispanic,White,28,20s,White,Non-Hispanic,09814,1
18,2017-09-08T00:00:00,1959,19,05 - Friday,09 - September,3,2017,2017-1581924,Black Mountain Precinct,3,174XX N 13th St,Firearm,Injured,Non-fatal,Male,Non-Hispanic,White,17,<20,Asian,Non-Hispanic,08869,1
19,2017-09-20T00:00:00,1939,19,03 - Wednesday,09 - September,3,2017,2017-137937,Not Available,Not Available,43XX W Bethany Home Rd,Firearm,No Injury,Non-fatal,Male,Non-Hispanic,White,35,30s,White,Non-Hispanic,07854,1
20,2017-09-20T00:00:00,1939,19,03 - Wednesday,09 - September,3,2017,2017-137937,Not Available,Not Available,43XX W Bethany Home Rd,Firearm,No Injury,Non-fatal,Male,Non-Hispanic,White,35,30s,White,Non-Hispanic,08334,1
21,2017-09-20T00:00:00,1939,19,03 - Wednesday,09 - September,3,2017,2017-137937,Not Available,Not Available,43XX W Bethany Home Rd,Firearm,No Injury,Non-fatal,Male,Non-Hispanic,White,35,30s,White,Non-Hispanic,08620,1
22,2017-09-20T00:00:00,1940,19,03 - Wednesday,09 - September,3,2017,2017-1656063,Mountain View Precinct,6,30XX N 44th St,Firearm,Injured,Non-fatal,Male,Non-Hispanic,White,35,30s,Hispanic,Hispanic,09600,1
23,2017-09-20T00:00:00,1940,19,03 - Wednesday,09 - September,3,2017,2017-1656063,Mountain View Precinct,6,30XX N 44th St,Firearm,Injured,Non-fatal,Male,Non-Hispanic,White,35,30s,White,Non-Hispanic,07013,1
